Graph
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.111793
0.100000,-0.123409
0.150000,-0.126479
0.200000,-0.138172
0.250000,-0.182575
0.300000,-0.258063
0.350000,-0.373988
0.400000,-0.523135
0.450000,-0.714689
0.500000,-0.941450
0.550000,-1.219244
0.600000,-1.527960
0.650000,-1.877413
0.700000,-2.267014
0.750000,-2.696454
0.800000,-3.167596
0.850000,-3.678583
0.900000,-4.232710
0.950000,-4.830832
1.000000,-5.472690
1.050000,-6.154504
1.100000,-6.883790
1.150000,-7.606183
1.200000,-8.240786
1.250000,-8.794529
1.300000,-9.241192
1.350000,-9.580789
1.400000,-9.788501
1.450000,-9.906434
1.500000,-9.912823
1.550000,-9.807129
1.600000,-9.583059
1.650000,-9.245898
1.700000,-8.847071
1.750000,-8.456439
1.800000,-8.087708
1.850000,-7.752882
1.900000,-7.445945
1.950000,-7.180030
2.000000,-6.941813
2.050000,-6.739090
2.100000,-6.567611
2.150000,-6.434454
2.200000,-6.335089
2.250000,-6.218818
2.300000,-6.009183
2.350000,-5.700381
2.400000,-5.274426
2.450000,-4.737919
2.500000,-4.087248
2.550000,-3.339320
2.600000,-2.467720
2.650000,-1.485358
2.700000,-0.377709
2.750000,0.839703
2.800000,2.128728
2.850000,3.416757
2.900000,4.682169
2.950000,5.915585
3.000000,7.084003
3.050000,8.236164
3.100000,9.371897
3.150000,10.463307
3.200000,11.509303
3.250000,12.506320
3.300000,13.481377
3.350000,14.453229
3.400000,15.518282
3.450000,16.694008
3.500000,17.986952
3.550000,19.385025
3.600000,20.900265
3.650000,22.519056
3.700000,24.264854
3.750000,26.076767
3.800000,27.856764
3.850000,29.630716
3.900000,31.391317
3.950000,33.111374
4.000000,34.762756
4.050000,36.399605
4.100000,38.000916
4.150000,39.562031
4.200000,41.105553
4.250000,42.594654
4.300000,44.058781
4.350000,45.494495
4.400000,46.883976
4.450000,48.241741
4.500000,49.573311
4.550000,50.865425
4.600000,52.127773
4.650000,53.341629
4.700000,54.536755
4.750000,55.694004
4.800000,56.821991
4.850000,57.905109
4.900000,58.968246
4.950000,59.999348
5.000000,60.996731
5.050000,61.949017
5.100000,62.893837
5.150000,63.773613
5.200000,64.646454
5.250000,65.479965
5.300000,66.286911
5.350000,67.051857
5.400000,67.784195
5.450000,68.478165
5.500000,69.147461
5.550000,69.782646
5.600000,70.391060
5.650000,70.961189
5.700000,71.495819
5.750000,72.002846
5.800000,72.473564
5.850000,72.918266
5.900000,73.321228
5.950000,73.694420
6.000000,74.030518
6.050000,74.330910
6.100000,74.601883
6.150000,74.819672
6.200000,75.018738
6.250000,75.179855
6.300000,75.304131
6.350000,75.395645
6.400000,75.442772
6.450000,75.447411
6.500000,75.430389
6.550000,75.366188
6.600000,75.264679
6.650000,75.134201
6.700000,74.964783
6.750000,74.747421
6.800000,74.489197
6.850000,74.192917
6.900000,73.865829
6.950000,73.483192
7.000000,73.067535
7.050000,72.602867
7.100000,72.114037
7.150000,71.580803
7.200000,71.017967
7.250000,70.412643
7.300000,69.767822
7.350000,69.074715
7.400000,68.348145
7.450000,67.568420
7.500000,66.756660
7.550000,65.893646
7.600000,64.987946
7.650000,64.039925
7.700000,63.052334
7.750000,62.040482
7.800000,60.981205
7.850000,59.856560
7.900000,58.694023
7.950000,57.488079
8.000000,56.237000
8.050000,54.966110
8.100000,53.632206
8.150001,52.259270
8.200000,50.873241
8.250000,49.415924
8.300000,47.919704
8.350000,46.384933
8.400001,44.823822
8.450000,43.218407
8.500000,41.549595
8.550000,39.894947
8.600000,38.155590
8.650001,36.387093
8.700000,34.581570
8.750000,32.714119
8.800000,30.829039
8.850000,28.877375
8.900001,26.892330
8.950000,24.862007
9.000000,22.799904
9.050000,20.705893
9.100000,18.550255
9.150001,16.343676
9.200000,14.089917
9.250000,11.843740
9.300000,9.520982
9.350000,7.152369
9.400001,4.747675
9.450000,2.281783
9.500000,-0.212994
9.550000,-2.723852
9.600000,-5.308904
9.650001,-7.932718
9.700000,-10.606213
9.750000,-13.295902
9.800000,-16.040560
9.850000,-18.820375
9.900001,-21.651188
9.950000,-24.525644
10.000000,-27.440470
10.050000,-30.351236
10.100000,-33.189270
10.150001,-35.942657
10.200000,-38.564468
10.250000,-41.090919
10.300000,-43.513832
10.350000,-45.824070
10.400001,-48.034996
10.450000,-50.128147
10.500000,-52.103264
10.550000,-53.981941
10.600000,-55.752808
10.650001,-57.401909
10.700000,-58.940346
10.750000,-60.373028
10.800000,-61.690121
10.850000,-62.903912
10.900001,-64.001930
10.950000,-64.993484
