Graph
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.118920
0.100000,-0.079361
0.150000,0.088369
0.200000,0.384484
0.250000,0.788569
0.300000,1.310269
0.350000,1.946366
0.400000,2.700960
0.450000,3.549272
0.500000,4.523043
0.550000,5.609797
0.600000,6.803903
0.650000,8.113543
0.700000,9.541713
0.750000,11.089598
0.800000,12.745681
0.850000,14.503774
0.900000,16.396257
0.950000,18.383360
1.000000,20.486824
1.050000,22.718573
1.100000,25.079634
1.150000,27.474569
1.200000,29.878580
1.250000,32.279499
1.300000,34.631115
1.350000,36.925697
1.400000,39.201519
1.450000,41.445667
1.500000,43.658772
1.550000,45.839222
1.600000,47.985920
1.650000,50.110630
1.700000,52.191483
1.750000,54.217934
1.800000,56.242317
1.850000,58.213383
1.900000,60.143661
1.950000,62.048710
2.000000,63.919144
2.050000,65.753151
2.100000,67.566872
2.150000,69.340736
2.200000,71.065697
2.250000,72.759521
2.300000,74.436218
2.350000,76.077141
2.400000,77.689636
2.450000,79.256851
2.500000,80.800926
2.550000,82.294754
2.600000,83.771370
2.650000,85.209984
2.700000,86.611694
2.750000,87.983055
2.800000,89.304878
2.850000,90.609215
2.900000,91.872696
2.950000,93.105507
3.000000,94.319122
3.050000,95.492622
3.100000,96.631683
3.150000,97.747612
3.200000,98.811035
3.250000,99.857208
3.300000,100.874901
3.350000,101.861366
3.400000,102.817596
3.450000,103.738289
3.500000,104.629745
3.550000,105.484947
3.600000,106.312439
3.650000,107.113701
3.700000,107.874146
3.750000,108.608398
3.800000,109.314163
3.850000,109.979004
3.900000,110.617485
3.950000,111.207672
4.000000,111.776505
4.050000,112.312370
4.100000,112.822945
4.150000,113.289200
4.200000,113.736214
4.250000,114.136223
4.300000,114.516022
4.350000,114.853249
4.400000,115.167656
4.450000,115.441071
4.500000,115.689735
4.550000,115.898643
4.600000,116.080376
4.650000,116.229370
4.700000,116.354950
4.750000,116.437462
4.800000,116.502022
4.850000,116.525734
4.900000,116.523903
4.950000,116.490433
5.000000,116.420250
5.050000,116.330170
5.100000,116.199348
5.150000,116.043495
5.200000,115.843918
5.250000,115.614723
5.300000,115.360329
5.350000,115.068512
5.400000,114.740570
5.450000,114.371811
5.500000,113.973755
5.550000,113.514793
5.600000,113.033867
5.650000,112.519203
5.700000,111.963287
5.750000,111.396263
5.800000,110.772873
5.850000,110.099060
5.900000,109.396614
5.950000,108.657753
6.000000,107.876518
6.050000,107.056473
6.100000,106.193283
6.150000,105.310242
6.200000,104.384926
6.250000,103.414520
6.300000,102.409088
6.350000,101.362839
6.400000,100.291725
6.450000,99.169464
6.500000,98.024078
6.550000,96.839447
6.600000,95.599075
6.650000,94.314194
6.700000,92.984444
6.750000,91.630974
6.800000,90.245872
6.850000,88.823006
6.900000,87.358612
6.950000,85.836472
7.000000,84.283623
7.050000,82.672409
7.100000,81.018448
7.150000,79.328552
7.200000,77.612740
7.250000,75.845482
7.300000,74.029816
7.350000,72.170799
7.400000,70.288620
7.450000,68.336067
7.500000,66.335915
7.550000,64.298088
7.600000,62.220516
7.650000,60.109287
7.700000,57.961517
7.750000,55.744701
7.800000,53.501369
7.850000,51.196423
7.900000,48.860943
7.950000,46.459740
8.000000,44.056618
8.050000,41.583111
8.100000,39.080399
8.150001,36.515537
8.200000,33.918018
8.250000,31.267609
8.300000,28.577702
8.350000,25.832726
8.400001,23.032591
8.450000,20.237844
8.500000,17.377422
8.550000,14.475140
8.600000,11.527661
8.650001,8.537012
8.700000,5.496972
8.750000,2.399839
8.800000,-0.732750
8.850000,-3.885639
8.900001,-7.110080
8.950000,-10.386523
9.000000,-13.681573
9.050000,-17.027407
9.100000,-20.402761
9.150001,-23.840935
9.200000,-27.315298
9.250000,-30.783232
9.300000,-34.170311
9.350000,-37.484489
9.400001,-40.669510
9.450000,-43.762428
9.500000,-46.746094
9.550000,-49.624187
9.600000,-52.373745
9.650001,-55.041550
9.700000,-57.582191
9.750000,-60.025677
9.800000,-62.348896
9.850000,-64.568283
9.900001,-66.681953
9.950000,-68.683861
10.000000,-70.574860
10.050000,-72.357178
10.100000,-74.012283
10.150001,-75.503685
10.200000,-76.909454
10.250000,-78.243431
10.300000,-79.473129
10.350000,-80.584496
10.400001,-81.568230
10.450000,-82.436394
10.500000,-83.189629
10.550000,-83.840637
10.600000,-84.360634
10.650001,-84.770683
10.700000,-85.060631
10.750000,-85.244926
10.800000,-85.300682
10.850000,-85.251945
10.900001,-85.079231
10.950000,-84.798798
11.000000,-84.388298
11.050000,-83.872009
11.100000,-83.239273
11.150001,-82.483521
11.200000,-81.607430
11.250000,-80.608238
11.300000,-79.498619
11.350000,-78.262589
11.400001,-76.908928
11.450000,-75.428169
11.500000,-73.823738
11.550000,-72.091301
11.600000,-70.249634
11.650001,-68.279907
11.700000,-66.188507
11.750000,-63.972298
11.800000,-61.659225
11.850000,-59.182926
11.900001,-56.621197
11.950000,-53.920723
12.000000,-51.083408
12.050000,-48.160282
12.100000,-45.073586
12.150001,-41.878929
12.200000,-38.588631
12.250000,-35.154072
12.300000,-31.596817
12.350000,-27.937660
12.400001,-24.143496
12.450000,-20.224928
12.500000,-16.169342
12.550000,-12.035300
12.600000,-7.745382
12.650001,-3.317556
12.700000,1.215343
12.750000,5.848643
12.800000,10.641505
12.850000,15.542911
12.900001,20.566214
12.950000,25.701139
13.000000,30.978559
13.050000,36.321068
13.100000,41.650467
13.150001,46.949387
13.200000,52.281509
13.250000,57.569958
13.300000,62.813133
13.350000,68.033424
13.400001,73.232452
13.450000,78.397583
13.500000,83.554016
13.550000,88.673439
13.600000,93.759071
13.650001,98.834244
13.700000,103.874832
13.750000,108.886826
13.800000,113.890480
13.850000,118.851112
13.900001,123.799515
13.950000,128.731796
14.000000,133.614212
14.050000,138.479706
14.100000,143.347107
14.150001,148.164383
14.200000,152.970291
14.250000,157.733429
14.300000,162.503174
14.350000,167.235992
14.400001,171.965240
14.450000,176.645706
14.500000,-178.659225
14.550000,-174.013306
14.600000,-169.323105
14.650001,-164.534912
14.700000,-159.635635
14.750000,-154.615067
14.800000,-149.456726
14.850000,-144.172745
14.900001,-138.781113
14.950000,-133.267883
15.000000,-127.584274

