Graph0
Time (Seconds),Data (Degrees)
14.850000,-0.766019
14.900001,-0.773942
14.950000,0.384813
15.000000,0.774325
15.050000,0.935845
15.100000,0.992754
15.150001,1.000677
15.200000,0.989790
15.250000,0.991211
15.300000,1.016223
15.350000,0.990063
15.400001,0.994557
15.450000,1.013422
15.500000,1.016783

