Graph0
Time (Seconds),Data (Degrees)
14.800000,0.864770
14.850000,0.903935
14.900001,0.924029
14.950000,0.930231
15.000000,0.930531
15.050000,0.939875
15.100000,0.948522
15.150001,0.968357
15.200000,0.975501
15.250000,0.979695
15.300000,0.956609
15.350000,0.979859
15.400001,1.006087
15.450000,0.969614
15.500000,1.007986
15.550000,0.986293
15.600000,0.971881
15.650001,0.954820
15.700000,0.974477
15.750000,0.947702
15.800000,0.964655
15.850000,-0.199469
15.900001,-0.581809
15.950000,-0.774352
16.000000,-0.838529
16.049999,-0.821371
16.099998,-0.839922
16.150000,-0.850837
16.199999,-0.828570
16.250000,-0.843132
16.299999,-0.816440
16.349998,-0.810935
16.400000,-0.829526
16.449999,-0.814309
16.500000,-0.805020
16.549999,-0.788272
16.599998,-0.823775
16.650000,-0.831480
16.699999,-0.792042
16.750000,-0.801482
16.799999,-0.825824
16.849998,-0.834198
16.900000,-0.818489
16.949999,-0.819131
17.000000,-0.817191
17.049999,-0.801181
17.099998,-0.794310
17.150000,-0.779611
17.199999,-0.806796
17.250000,-0.771948
17.299999,-0.775787
17.349998,-0.768847
17.400000,-0.774666
17.449999,-0.804965
17.500000,-0.832969
17.549999,-0.820114
17.599998,-0.788573
17.650000,-0.797110
17.699999,-0.774339
17.750000,-0.744545
17.799999,-0.770746
17.849998,-0.793559
17.900000,-0.778327
17.949999,0.379048
18.000000,0.844717
18.049999,0.958221
18.099998,1.051617
18.150000,1.068187
18.199999,1.114496
18.250000,1.054636
18.299999,1.012972
18.349998,1.014379
18.400000,0.996156
18.449999,0.985214
18.500000,0.992290
18.549999,1.004366
18.599998,1.013819
18.650000,1.009256

