Graph0
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.553928
0.100000,-0.783682
0.150000,-0.883977
0.200000,-0.926119
0.250000,-0.945121
0.300000,-0.952456
0.350000,-0.955530
0.400000,-0.956308
0.450000,-0.958508
0.500000,-0.957374
0.550000,0.197720
0.600000,0.606111
0.650000,0.739013
0.700000,0.787849
0.750000,0.804146
0.800000,0.816699
0.850000,0.819268
0.900000,0.827805
0.950000,0.820388
1.000000,0.830455
1.050000,0.830346
1.100000,-0.334351
1.150000,-0.745215
1.200000,-0.881955
1.250000,-0.930504
1.300000,-0.941446
1.350000,-0.946036
1.400000,-0.952197
1.450000,-0.951568
1.500000,-0.931351
1.550000,-0.944656
1.600000,-0.921365
1.650000,0.246747
1.700000,0.645549
1.750000,0.797343
1.800000,0.851014
1.850000,0.866833
1.900000,0.864661
1.950000,0.883102
2.000000,0.874373
2.050000,0.889591
2.100000,0.866382
2.150000,0.890179
2.200000,0.887884
2.250000,0.880411
2.300000,-0.282046
2.350000,-0.681667
2.400000,-0.810443
2.450000,-0.851219
2.500000,-0.882201
2.550000,-0.891135
2.600000,-0.926980
2.650000,-0.926269
2.700000,-0.938919
2.750000,-0.933864
2.800000,-0.935722
2.850000,-0.931105
2.900000,-0.926406
2.950000,-0.920136
3.000000,-0.916311
3.050000,-0.903757
3.100000,-0.923196
3.150000,-0.894154
3.200000,-0.888089
3.250000,-0.890261
3.300000,-0.901517
3.350000,-0.907623
3.400000,-0.899550
3.450000,-0.909194
3.500000,-0.901257
3.550000,-0.877611
3.600000,-0.877092
3.650000,-0.866696
3.700000,-0.848050
3.750000,-0.850031
3.800000,-0.848774
3.850000,-0.874988
3.900000,-0.865849
3.950000,-0.885356
4.000000,-0.902514
4.050000,-0.890356
4.100000,-0.883758
4.150000,-0.877925
4.200000,-0.874059
4.250000,-0.874223
4.300000,-0.864675
4.350000,-0.876709
4.400000,-0.873267
4.450000,-0.877748
4.500000,-0.844239
4.550000,-0.860577
4.600000,-0.855003
4.650000,-0.890821
4.700000,-0.886832
4.750000,-0.853692
4.800000,-0.852831
4.850000,-0.858623
4.900000,-0.850550
4.950000,-0.844812
5.000000,-0.850113
5.050000,-0.825182
5.100000,-0.810347
5.150000,-0.822860
5.200000,-0.844976
5.250000,-0.844621
5.300000,-0.857025
5.350000,-0.858883
5.400000,-0.824254
5.450000,-0.783245
5.500000,-0.837736
5.550000,-0.833351
5.600000,-0.859771
5.650000,-0.865248
5.700000,-0.856437
5.750000,-0.826521
5.800000,-0.829827
5.850000,-0.825770
5.900000,-0.846930
5.950000,-0.830729
6.000000,-0.841766
6.050000,-0.862626
6.100000,-0.870057
6.150000,-0.856219
6.200000,-0.861601
6.250000,-0.848310
6.300000,-0.879838
6.350000,-0.902514
6.400000,-0.914576
6.450000,-0.920996
6.500000,-0.927294
6.550000,-0.925491
6.600000,-0.927881
6.650000,-0.929056
6.700000,-0.924808
6.750000,-0.935039
6.800000,-0.939247
6.850000,-0.947853
6.900000,-0.968480
6.950000,-0.949615
7.000000,-0.925614
7.050000,-0.913907
7.100000,-0.908675
7.150000,-0.909057
7.200000,-0.910601
7.250000,-0.913251
7.300000,-0.913688
7.350000,-0.915204
7.400000,-0.914071
7.450000,-0.911188
7.500000,-0.920423
7.550000,-0.935777
7.600000,-0.933905
7.650000,-0.931556
7.700000,-0.947894
7.750000,-0.949355
7.800000,-0.912131
7.850000,-0.957633
7.900000,-0.955967
7.950000,-0.961254
8.000000,-0.962059
8.050000,-0.967168
8.100000,-0.972728
8.150001,-1.000554
8.200000,-1.017165
8.250000,-0.986143
8.300000,-1.028531
8.350000,-0.980132
8.400001,-0.981758
8.450000,-0.955707
8.500000,-0.989162
8.550000,-0.935272
8.600000,-0.972305
8.650001,-1.015649
8.700000,-1.013245
8.750000,-1.033203
8.800000,-1.025730
8.850000,-1.019051
8.900001,-0.983493
8.950000,-0.968835
9.000000,-0.962770
9.050000,-0.964505
9.100000,-0.987700
9.150001,0.194701
9.200000,0.590729
9.250000,0.746963
9.300000,0.809295
9.350000,0.807383
9.400001,0.826740
9.450000,0.817082
9.500000,0.813339
9.550000,0.832218
9.600000,0.817369
9.650001,0.850727
9.700000,0.784761
9.750000,0.871027
9.800000,0.898921
9.850000,0.911270
9.900001,0.866628
9.950000,0.849047
10.000000,0.840892
10.050000,0.849348
10.100000,0.823967
10.150001,0.819022
10.200000,0.800826
10.250000,0.813353
10.300000,0.815347
10.350000,0.794337
10.400001,0.830442
10.450000,0.794515
10.500000,0.778792
10.550000,0.798244
10.600000,0.850850
10.650001,0.836971
10.700000,0.817123
10.750000,0.817943
10.800000,0.818830
10.850000,0.778081
10.900001,0.813694
10.950000,0.838747
11.000000,0.843583
11.050000,0.855973
11.100000,0.863404
11.150001,0.869128
11.200000,0.887815
11.250000,0.902650
11.300000,0.917650
11.350000,0.934834
11.400001,0.951650
11.450000,0.932266
11.500000,0.945448
11.550000,0.944123
11.600000,0.952238
11.650001,0.934138
11.700000,0.959341
11.750000,0.970174
