Graph0
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,0.619389
0.100000,0.790403
0.150000,0.837887
0.200000,0.847135
0.250000,0.845345
0.300000,0.841206
0.350000,0.836343
0.400000,0.843323
0.450000,0.850085
0.500000,0.842395
0.550000,0.843037
0.600000,0.867926
0.650000,0.864169
0.700000,0.882228
0.750000,0.878663
0.800000,0.866792
0.850000,0.888703
0.900000,0.856519
0.950000,0.879155
1.000000,0.891763
1.050000,0.893047
1.100000,-0.274628
1.150000,-0.682623
1.200000,-0.822164
1.250000,-0.888061
1.300000,-0.874688
1.350000,-0.901284
1.400000,-0.928960
1.450000,-0.934739
1.500000,-0.922089
1.550000,-0.930135
1.600000,-0.921311
1.650000,-0.907609
1.700000,-0.901080
1.750000,-0.884387
1.800000,-0.880097
1.850000,-0.891872
1.900000,-0.911434
1.950000,-0.902254
2.000000,-0.893840
2.050000,-0.866970
2.100000,-0.883745
2.150000,-0.855153
2.200000,-0.857298
2.250000,-0.886927
2.300000,-0.886299
2.350000,-0.868732
2.400000,-0.896216
2.450000,-0.882365
2.500000,-0.891066
2.550000,-0.872584
2.600000,-0.876163
2.650000,-0.880835
2.700000,-0.891531
2.750000,-0.869196
2.800000,-0.880084
2.850000,-0.881682
2.900000,-0.876532
2.950000,-0.869811
3.000000,-0.867434
3.050000,-0.866177
3.100000,-0.842559
3.150000,-0.838802
3.200000,-0.849471
3.250000,-0.844184
3.300000,-0.825893
3.350000,-0.824021
3.400000,-0.841233
3.450000,-0.833939
3.500000,-0.860577
3.550000,-0.845291
3.600000,-0.800744
3.650000,-0.870754
3.700000,-0.870740
3.750000,-0.838269
3.800000,-0.892474
3.850000,-0.858883
3.900000,-0.854224
3.950000,-0.889578
4.000000,-0.827177
4.050000,-0.818298
4.100000,-0.866724
4.150000,-0.880739
4.200000,-0.872488
4.250000,-0.866724
4.300000,-0.877925
4.350000,-0.881122
4.400000,-0.855659
4.450000,-0.892023
4.500000,-0.838857
4.550000,-0.847599
4.600000,-0.831958
4.650000,-0.794529
4.700000,-0.788313
4.750000,-0.818407
4.800000,-0.867858
4.850000,-0.865125
4.900000,-0.835032
4.950000,-0.806577
5.000000,-0.783354
5.050000,-0.815975
5.100000,-0.821248
5.150000,-0.835715
5.200000,-0.823516
5.250000,-0.851055
5.300000,-0.856834
5.350000,-0.847627
5.400000,-0.871505
5.450000,-0.878595
5.500000,-0.862175
5.550000,-0.892433
5.600000,-0.902732
5.650000,-0.913046
5.700000,-0.925586
5.750000,-0.914918
5.800000,-0.909180
5.850000,-0.915532
5.900000,-0.914508
5.950000,-0.921912
6.000000,-0.934493
6.050000,-0.932676
6.100000,-0.941910
6.150000,-0.943249
6.200000,-0.937129
6.250000,-0.936638
6.300000,-0.933168
6.350000,-0.948481
6.400000,-0.941378
6.450000,-0.956759
6.500000,-0.945448
6.550000,-0.937020
6.600000,-0.938823
6.650000,-0.954492
6.700000,-0.960024
6.750000,-0.964628
6.800000,-0.940954
6.850000,-0.937894
6.900000,-0.950680
6.950000,-0.921857
7.000000,-0.925054
7.050000,-0.944410
7.100000,-0.985897
7.150000,-0.972605
7.200000,-0.962852
7.250000,-0.967619
7.300000,-0.980146
7.350000,-0.957811
7.400000,-0.940886
7.450000,-1.028271
7.500000,-0.968179
7.550000,-0.974135
7.600000,-0.995910
7.650000,-0.993615
7.700000,-0.995172
7.750000,-0.952060
7.800000,-0.969559
7.850000,-0.995978
7.900000,-0.991388
7.950000,-0.999516
8.000000,-1.006251
8.050000,-0.996443
8.100000,-1.006592
8.150001,-1.012999
8.200000,-0.988533
8.250000,-0.968043
8.300000,-0.950202
8.350000,-0.978957
8.400001,-1.005704
8.450000,-1.004379
8.500000,-0.990910
8.550000,-0.985910
8.600000,-1.002754
8.650001,-1.000117
8.700000,-0.988438
8.750000,-0.991033
8.800000,-1.011606
8.850000,-1.007808
8.900001,-1.051084
8.950000,-1.022247
9.000000,-1.007945
9.050000,-1.048202
9.100000,-1.014447
9.150001,-0.986307
9.200000,0.152341
9.250000,0.587588
9.300000,0.754558
9.350000,0.778532
9.400001,0.836603
9.450000,0.803681
9.500000,0.794638
