Graph0
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.553928
0.100000,-0.783682
0.150000,-0.883977
0.200000,-0.926119
0.250000,-0.945121
0.300000,-0.952456
0.350000,-0.955530
0.400000,-0.956308
0.450000,-0.958508
0.500000,-0.957374
0.550000,-0.973616
0.600000,-0.975146
0.650000,-0.985009
0.700000,-0.986553
0.750000,-0.989285
0.800000,-0.986184
0.850000,-0.990623
0.900000,-0.984162
0.950000,-1.003327
1.000000,-0.993246
1.050000,-1.018299
1.100000,0.157764
1.150000,0.574419
1.200000,0.693865
1.250000,0.737264
1.300000,0.769120
1.350000,0.780540
1.400000,0.800949
1.450000,0.812000
1.500000,0.817314
1.550000,0.818612
1.600000,0.822956
1.650000,-0.337767
1.700000,-0.744791
1.750000,-0.876586
1.800000,-0.929684
1.850000,-0.946091
1.900000,-0.945858
1.950000,-0.945599
2.000000,-0.937785
2.050000,-0.931501
2.100000,-0.931665
2.150000,-0.942798
2.200000,0.221080
2.250000,0.644961
2.300000,0.785595
2.350000,0.840646
2.400000,0.845591
2.450000,0.866218
2.500000,0.877406
2.550000,0.867489
2.600000,0.861505
2.650000,0.856492
2.700000,0.848364
2.750000,-0.320404
2.800000,-0.713099
2.850000,-0.842094
2.900000,-0.883526
2.950000,-0.900233
3.000000,-0.908511
3.050000,-0.917212
3.100000,-0.911598
3.150000,-0.911735
3.200000,-0.914125
3.250000,-0.928564
3.300000,0.247512
3.350000,0.644428
3.400000,0.782562
3.450000,0.838201
3.500000,0.856424
3.550000,0.874824
3.600000,0.859907
3.650000,0.872570
3.700000,-0.259588
3.750000,-0.659591
3.800000,-0.819104
3.850000,-0.871655
3.900000,-0.890315
3.950000,-0.888293
4.000000,-0.907445
4.050000,-0.912199
4.100000,-0.913524
4.150000,-0.910205
4.200000,-0.905929
4.250000,-0.925668
4.300000,-0.926966
4.350000,-0.916092
4.400000,-0.904290
4.450000,-0.918688
4.500000,-0.912062
4.550000,-0.925641
4.600000,-0.909248
4.650000,-0.880644
4.700000,-0.871518
4.750000,-0.886941
4.800000,-0.866232
4.850000,-0.884086
4.900000,-0.853528
4.950000,-0.829595
5.000000,-0.865754
5.050000,-0.845960
5.100000,-0.843078
5.150000,-0.834485
5.200000,-0.868363
5.250000,-0.885397
5.300000,-0.876081
5.350000,-0.868199
5.400000,-0.829991
5.450000,-0.884933
5.500000,-0.851069
5.550000,-0.799323
5.600000,-0.833775
5.650000,-0.827614
5.700000,-0.794283
5.750000,-0.866888
5.800000,-0.858965
5.850000,-0.844034
5.900000,-0.876914
5.950000,-0.878513
6.000000,-0.856560
6.050000,-0.877406
6.100000,-0.838119
6.150000,-0.860577
6.200000,-0.873144
6.250000,-0.872584
6.300000,-0.872557
6.350000,-0.874305
6.400000,-0.878349
6.450000,-0.882283
6.500000,-0.884387
6.550000,-0.879742
6.600000,-0.893908
6.650000,-0.893266
6.700000,-0.883963
6.750000,-0.894290
6.800000,-0.890056
6.850000,-0.897501
6.900000,-0.888211
6.950000,-0.893471
7.000000,-0.888935
7.050000,-0.894003
7.100000,-0.907910
7.150000,-0.926187
7.200000,-0.926570
7.250000,-0.920272
7.300000,-0.923838
7.350000,-0.933386
7.400000,-0.946473
7.450000,-0.950503
7.500000,-0.966035
7.550000,-0.971280
7.600000,-0.952046
7.650000,-0.964710
7.700000,-0.975064
7.750000,-0.954014
7.800000,-0.933154
7.850000,-0.936433
7.900000,-0.942894
7.950000,-0.950557
8.000000,-0.982427
8.050000,-0.969600
8.100000,-0.967401
8.150001,-0.967291
8.200000,-0.961937
8.250000,-0.955885
8.300000,-0.946514
8.350000,-0.969204
8.400001,-0.976471
8.450000,-0.982536
8.500000,-0.960065
8.550000,-0.947388
8.600000,-0.959532
8.650001,-0.950721
8.700000,-0.941309
8.750000,-0.968466
8.800000,-0.963958
8.850000,-0.964368
8.900001,-0.977660
8.950000,-0.968835
9.000000,-0.996402
9.050000,-0.965037
9.100000,-0.975255
9.150001,-0.977742
9.200000,-0.962551
9.250000,-0.977100
9.300000,-0.987454
9.350000,-0.983274
9.400001,-0.957675
9.450000,-0.973493
9.500000,-0.988725
9.550000,-0.988711
9.600000,-0.937402
9.650001,-0.962797
9.700000,-0.987181
9.750000,-1.036290
9.800000,-0.968685
9.850000,-1.004939
9.900001,-1.033736
9.950000,-1.004161
10.000000,0.151849
10.050000,0.559994
10.100000,0.704739
10.150001,0.766962
10.200000,0.811181
10.250000,0.816617
10.300000,0.804296
10.350000,0.810088
10.400001,0.805293
10.450000,0.804473
10.500000,0.804186
10.550000,0.798162
10.600000,0.800334
10.650001,0.810716
10.700000,0.816358
10.750000,0.818311
10.800000,0.819513
10.850000,0.817464
10.900001,0.816563
10.950000,0.815811
11.000000,0.822901
11.050000,0.813803
11.100000,0.769175
11.150001,0.787097
11.200000,0.794597
11.250000,0.779939
11.300000,0.788340
11.350000,0.792029
11.400001,0.791209
11.450000,0.794734
11.500000,0.806222
11.550000,0.770691
11.600000,0.801974
11.650001,0.774858
11.700000,0.791346
