Graph
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.111793
0.100000,-0.123409
0.150000,-0.126479
0.200000,-0.138172
0.250000,-0.182575
0.300000,-0.258063
0.350000,-0.373988
0.400000,-0.523135
0.450000,-0.714689
0.500000,-0.941450
0.550000,-1.223405
0.600000,-1.480145
0.650000,-1.659532
0.700000,-1.738729
0.750000,-1.714303
0.800000,-1.579033
0.850000,-1.336085
0.900000,-0.980242
0.950000,-0.520777
1.000000,0.056549
1.050000,0.748477
1.100000,1.547254
1.150000,2.408695
1.200000,3.263904
1.250000,4.086243
1.300000,4.887748
1.350000,5.646686
1.400000,6.369114
1.450000,7.056757
1.500000,7.719249
1.550000,8.335909
1.600000,8.926278
1.650000,9.466303
1.700000,10.029399
1.750000,10.669538
1.800000,11.421093
1.850000,12.288813
1.900000,13.265577
1.950000,14.354437
2.000000,15.567325
2.050000,16.880970
2.100000,18.321627
2.150000,19.865658
2.200000,21.529675
2.250000,23.282349
2.300000,25.190987
2.350000,27.147984
2.400000,29.100889
2.450000,31.026108
2.500000,32.928932
2.550000,34.770008
2.600000,36.611187
2.650000,38.383659
2.700000,40.140427
2.750000,41.862606
2.800000,43.540337
2.850000,45.198463
2.900000,46.814091
2.950000,48.397617
3.000000,49.952721
3.050000,51.469936
3.100000,52.930241
3.150000,54.370754
3.200000,55.786160
3.250000,57.155815
3.300000,58.465607
3.350000,59.762844
3.400000,61.025528
3.450000,62.244865
3.500000,63.431702
3.550000,64.578499
3.600000,65.692101
3.650000,66.769699
3.700000,67.820694
3.750000,68.840843
3.800000,69.825645
3.850000,70.767494
3.900000,71.672523
3.950000,72.560272
4.000000,73.392891
4.050000,74.207535
4.100000,74.991829
4.150000,75.724297
4.200000,76.426216
4.250000,77.086510
4.300000,77.718086
4.350000,78.325356
4.400000,78.893326
4.450000,79.426125
4.500000,79.923927
4.550000,80.385902
4.600000,80.821960
4.650000,81.218796
4.700000,81.601372
4.750000,81.932480
4.800000,82.238663
4.850000,82.499496
4.900000,82.740234
4.950000,82.949089
5.000000,83.128044
5.050000,83.273506
5.100000,83.390495
5.150000,83.473480
5.200000,83.534676
5.250000,83.563370
5.300000,83.554497
5.350000,83.518951
5.400000,83.457191
5.450000,83.362862
5.500000,83.238945
5.550000,83.085617
5.600000,82.899292
5.650000,82.687050
5.700000,82.434029
5.750000,82.160004
5.800000,81.849113
5.850000,81.506058
5.900000,81.141258
5.950000,80.727547
6.000000,80.297470
6.050000,79.831139
6.100000,79.326431
6.150000,78.776581
6.200000,78.208931
6.250000,77.592720
6.300000,76.944672
6.350000,76.230225
6.400000,75.504372
6.450000,74.741608
6.500000,73.940613
6.550000,73.098907
6.600000,72.236580
6.650000,71.324112
6.700000,70.368881
6.750000,69.367950
6.800000,68.324257
6.850000,67.237930
6.900000,66.113541
6.950000,64.993675
7.000000,63.812893
7.050000,62.570736
7.100000,61.287300
7.150000,59.960865
7.200000,58.598419
7.250000,57.194763
7.300000,55.756241
7.350000,54.275345
7.400000,52.759830
7.450000,51.196362
7.500000,49.589275
7.550000,47.948196
7.600000,46.267811
7.650000,44.550560
7.700000,42.776588
7.750000,40.977100
7.800000,39.144093
7.850000,37.256355
7.900000,35.325348
7.950000,33.365326
8.000000,31.370420
8.050000,29.300592
8.100000,27.206064
8.150001,25.059664
8.200000,22.897354
8.250000,20.672184
8.300000,18.412100
8.350000,16.095764
8.400001,13.734198
8.450000,11.350591
8.500000,8.923472
8.550000,6.438509
8.600000,3.926261
8.650001,1.347909
8.700000,-1.238783
8.750000,-3.878764
8.800000,-6.581315
8.850000,-9.329126
8.900001,-12.080283
8.950000,-14.895984
9.000000,-17.752073
9.050000,-20.653160
9.100000,-23.585779
9.150001,-26.566582
9.200000,-29.537607
9.250000,-32.439323
9.300000,-35.232349
9.350000,-37.933502
9.400001,-40.502541
9.450000,-42.987000
9.500000,-45.363171
9.550000,-47.630180
9.600000,-49.770329
9.650001,-51.806358
9.700000,-53.737789
9.750000,-55.567539
9.800000,-57.271587
9.850000,-58.871635
9.900001,-60.341026
9.950000,-61.711941
10.000000,-62.967384
10.050000,-64.114708
10.100000,-65.150352
10.150001,-66.069008
10.200000,-66.885689
10.250000,-67.589760
10.300000,-68.184464
10.350000,-68.655869
10.400001,-69.037613
10.450000,-69.299210
10.500000,-69.455742
10.550000,-69.481804
10.600000,-69.420197
10.650001,-69.227875
10.700000,-68.926872
10.750000,-68.519226
10.800000,-67.993103
10.850000,-67.342003
10.900001,-66.568878
10.950000,-65.716942
11.000000,-64.719437
11.050000,-63.621731
